cena;pokoi;dzielnica;typ budynku
226298.17;4;Krzyki;wiezowiec
128121.35;1;Biskupin;wiezowiec
118333.42;1;Srodmiescie;wiezowiec
202064.16;4;Srodmiescie;wiezowiec
130303;1;Krzyki;wiezowiec
156241.89;2;Biskupin;wiezowiec
186732.01;2;Biskupin;kamienica
98925.66;1;Krzyki;kamienica
193186.71;3;Srodmiescie;wiezowiec
116306.58;1;Krzyki;wiezowiec
200661.77;3;Biskupin;kamienica
120513.56;1;Srodmiescie;kamienica
165908.86;3;Krzyki;kamienica
149856.6;2;Krzyki;kamienica
136640.17;2;Srodmiescie;kamienica
143616.79;2;Krzyki;wiezowiec
146439.27;2;Biskupin;wiezowiec
158608.89;2;Krzyki;niski blok
204529.65;3;Srodmiescie;kamienica
186816.07;4;Krzyki;kamienica
172528.26;3;Biskupin;wiezowiec
245845.93;4;Srodmiescie;niski blok
123690.76;1;Biskupin;wiezowiec
149943.62;2;Srodmiescie;kamienica
149948.18;2;Srodmiescie;kamienica
214461.62;3;Biskupin;niski blok
199465.03;3;Biskupin;kamienica
93055.36;1;Krzyki;wiezowiec
140947.96;2;Krzyki;wiezowiec
214379.62;3;Krzyki;wiezowiec
244760.22;4;Krzyki;niski blok
132012.89;1;Srodmiescie;niski blok
180516.55;3;Srodmiescie;niski blok
140133.37;2;Srodmiescie;wiezowiec
210290.58;3;Biskupin;niski blok
184713.03;3;Krzyki;wiezowiec
203449.34;3;Krzyki;niski blok
212056.29;4;Krzyki;wiezowiec
194037.54;3;Krzyki;kamienica
108383.14;1;Krzyki;kamienica
127348.95;1;Srodmiescie;wiezowiec
243336.45;4;Srodmiescie;niski blok
202248.22;4;Krzyki;kamienica
140150.46;2;Krzyki;kamienica
185345.69;4;Krzyki;kamienica
224902.78;4;Krzyki;wiezowiec
175233.29;2;Krzyki;niski blok
220714.05;4;Biskupin;wiezowiec
295761.8;4;Biskupin;niski blok
120289.78;1;Biskupin;wiezowiec
197769.6;3;Biskupin;niski blok
159804.62;3;Krzyki;niski blok
166560.53;2;Biskupin;niski blok
209165.27;3;Biskupin;kamienica
208599.19;3;Krzyki;niski blok
155264.66;2;Srodmiescie;niski blok
135106.81;1;Biskupin;kamienica
205702.34;2;Srodmiescie;niski blok
186123.06;3;Srodmiescie;niski blok
189860.22;3;Srodmiescie;kamienica
110566.55;1;Krzyki;wiezowiec
101188.78;1;Krzyki;wiezowiec
161366.39;2;Krzyki;niski blok
217035.43;3;Krzyki;niski blok
99170.8;1;Krzyki;kamienica
239440.9;4;Srodmiescie;wiezowiec
211177.75;4;Biskupin;niski blok
242341.98;4;Krzyki;niski blok
208188.79;3;Biskupin;niski blok
176134.23;2;Srodmiescie;niski blok
157917.4;2;Biskupin;kamienica
219082.15;3;Biskupin;niski blok
237783.73;4;Srodmiescie;kamienica
209267.87;3;Biskupin;kamienica
120461.81;1;Krzyki;niski blok
122450.66;1;Srodmiescie;kamienica
160509.06;3;Krzyki;wiezowiec
189109.19;2;Biskupin;niski blok
181191.93;3;Krzyki;kamienica
177478.44;3;Srodmiescie;wiezowiec
144072.05;2;Krzyki;niski blok
220745.37;4;Srodmiescie;wiezowiec
139292.92;2;Krzyki;kamienica
114348.44;1;Srodmiescie;kamienica
205710.6;3;Biskupin;kamienica
165787.81;2;Krzyki;niski blok
202995.09;3;Biskupin;wiezowiec
170220.94;3;Krzyki;niski blok
