"Kod";"Nazwa";"ludność w tysiącach;2004;[tys. osób]";"ludność w tysiącach;2005;[tys. osób]";"ludność w tysiącach;2006;[tys. osób]";"ludność w tysiącach;2007;[tys. osób]";"ludność w tysiącach;2008;[tys. osób]";"ludność w tysiącach;2009;[tys. osób]";"ludność w tysiącach;2010;[tys. osób]";"ludność w tysiącach;2011;[tys. osób]";"ludność w tysiącach;2012;[tys. osób]";"ludność w tysiącach;2013;[tys. osób]";"ludność w tysiącach;2014;[tys. osób]";"ludność w tysiącach;2015;[tys. osób]";"ludność w tysiącach;2016;[tys. osób]";"ludność w tysiącach;2017;[tys. osób]";"ludność w tysiącach;2018;[tys. osób]";"ludność w tysiącach;2019;[tys. osób]";"ludność w tysiącach;2020;[tys. osób]";"ludność w tysiącach;2021;[tys. osób]";"ludność w tysiącach;2022;[tys. osób]";
011200000000;"MAŁOPOLSKIE";3260,20;3266,19;3271,21;3279,04;3287,14;3298,27;3336,70;3346,80;3354,08;3360,58;3368,34;3372,62;3382,26;3391,38;3400,58;3410,90;3432,69;3430,37;3429,01;
012400000000;"ŚLĄSKIE";4700,77;4685,78;4669,14;4654,12;4645,67;4640,73;4634,94;4626,36;4615,87;4599,45;4585,92;4570,85;4559,16;4548,18;4533,57;4517,64;4412,10;4375,95;4346,70;
020800000000;"LUBUSKIE";1009,17;1009,20;1008,52;1008,48;1008,96;1010,05;1023,22;1023,16;1023,32;1021,47;1020,31;1018,08;1017,38;1016,83;1014,55;1011,59;993,33;985,49;979,98;
023000000000;"WIELKOPOLSKIE";3365,28;3372,42;3378,50;3386,88;3397,62;3408,28;3446,75;3455,48;3462,20;3467,02;3472,58;3475,32;3481,63;3489,21;3493,97;3498,73;3507,04;3500,03;3493,58;
023200000000;"ZACHODNIOPOMORSKIE";1694,87;1694,18;1692,84;1692,27;1692,96;1693,20;1723,74;1722,74;1721,41;1718,86;1715,43;1710,48;1708,17;1705,53;1701,03;1696,19;1661,07;1650,02;1640,62;
030200000000;"DOLNOŚLĄSKIE";2893,06;2888,23;2882,32;2878,41;2877,06;2876,63;2917,24;2916,58;2914,36;2910,00;2908,46;2904,21;2903,71;2902,55;2901,23;2900,16;2908,38;2897,74;2888,03;
031600000000;"OPOLSKIE";1051,53;1047,41;1041,94;1037,09;1033,04;1031,10;1017,24;1013,95;1010,20;1004,42;1000,86;996,01;993,04;990,07;986,51;982,63;955,84;948,58;942,44;
040400000000;"KUJAWSKO-POMORSKIE";2068,26;2068,25;2066,37;2066,14;2067,92;2069,08;2098,71;2098,37;2096,40;2092,56;2089,99;2086,21;2083,93;2082,94;2077,78;2072,37;2031,55;2017,72;2006,88;
042200000000;"POMORSKIE";2194,04;2199,04;2203,60;2210,92;2219,51;2230,10;2275,49;2283,50;2290,07;2295,81;2302,08;2307,71;2315,61;2324,25;2333,52;2343,93;2358,26;2358,73;2358,31;
042800000000;"WARMIŃSKO-MAZURSKIE";1428,71;1428,60;1426,88;1426,16;1427,07;1427,12;1453,78;1452,60;1450,70;1446,92;1443,97;1439,68;1436,37;1433,95;1428,98;1422,74;1385,62;1374,70;1366,43;
051000000000;"ŁÓDZKIE";2587,70;2577,47;2566,20;2555,90;2548,86;2541,83;2542,44;2533,68;2524,65;2513,09;2504,14;2493,60;2485,32;2476,32;2466,32;2454,78;2415,82;2394,95;2378,48;
052600000000;"ŚWIĘTOKRZYSKIE";1288,69;1285,01;1279,84;1275,55;1272,78;1270,12;1282,55;1278,12;1274,00;1268,24;1263,18;1257,18;1252,90;1247,73;1241,55;1233,96;1199,58;1187,69;1178,16;
060600000000;"LUBELSKIE";2185,16;2179,61;2172,77;2166,21;2161,83;2157,20;2178,61;2171,86;2165,65;2156,15;2147,75;2139,73;2133,34;2126,32;2117,62;2108,27;2056,91;2038,30;2024,64;
061800000000;"PODKARPACKIE";2097,98;2098,26;2097,56;2097,34;2099,50;2101,73;2127,95;2128,69;2129,95;2129,29;2129,19;2127,66;2127,66;2129,14;2129,02;2127,16;2096,17;2085,93;2079,10;
062000000000;"PODLASKIE";1202,43;1199,69;1196,10;1192,66;1191,47;1189,73;1203,45;1200,98;1198,69;1194,97;1191,92;1188,80;1186,63;1184,55;1181,53;1178,35;1156,59;1148,72;1143,36;
071400000000;"MAZOWIECKIE";5146,00;5157,73;5171,70;5188,49;5204,50;5222,17;5267,07;5285,60;5301,76;5316,84;5334,51;5349,11;5365,90;5384,62;5403,41;5423,17;5517,62;5512,79;5510,61;
