"Kod";"Nazwa";"szpitalne oddziały ratunkowe;2004;[szt.]";"szpitalne oddziały ratunkowe;2005;[szt.]";"szpitalne oddziały ratunkowe;2006;[szt.]";"szpitalne oddziały ratunkowe;2007;[szt.]";"szpitalne oddziały ratunkowe;2008;[szt.]";"szpitalne oddziały ratunkowe;2009;[szt.]";"szpitalne oddziały ratunkowe;2010;[szt.]";"szpitalne oddziały ratunkowe;2011;[szt.]";"szpitalne oddziały ratunkowe;2012;[szt.]";"szpitalne oddziały ratunkowe;2013;[szt.]";"szpitalne oddziały ratunkowe;2014;[szt.]";"szpitalne oddziały ratunkowe;2015;[szt.]";"szpitalne oddziały ratunkowe;2016;[szt.]";"szpitalne oddziały ratunkowe;2017;[szt.]";"szpitalne oddziały ratunkowe;2018;[szt.]";"szpitalne oddziały ratunkowe;2019;[szt.]";"szpitalne oddziały ratunkowe;2020;[szt.]";"szpitalne oddziały ratunkowe;2021;[szt.]";"szpitalne oddziały ratunkowe;2022;[szt.]";
011200000000;"MAŁOPOLSKIE";20;20;21;22;21;21;23;22;20;20;20;20;21;21;21;21;21;21;21;
012400000000;"ŚLĄSKIE";1;1;1;5;8;9;9;9;9;11;11;12;12;12;12;14;14;14;14;
020800000000;"LUBUSKIE";5;4;8;7;5;6;7;8;8;8;8;8;8;8;8;8;8;8;8;
023000000000;"WIELKOPOLSKIE";15;21;23;23;25;26;26;25;21;22;23;24;24;24;24;25;25;25;26;
023200000000;"ZACHODNIOPOMORSKIE";4;5;5;9;4;6;8;10;5;7;8;8;7;8;10;10;10;10;10;
030200000000;"DOLNOŚLĄSKIE";1;2;3;8;11;12;13;13;13;14;15;15;15;16;16;16;16;16;16;
031600000000;"OPOLSKIE";4;5;5;5;5;5;5;5;6;7;7;7;7;7;7;7;7;7;7;
040400000000;"KUJAWSKO-POMORSKIE";9;11;12;10;10;13;13;12;11;11;10;10;10;10;10;10;10;10;11;
042200000000;"POMORSKIE";7;11;10;11;12;13;12;13;13;12;12;12;12;13;13;13;13;13;13;
042800000000;"WARMIŃSKO-MAZURSKIE";5;6;4;6;6;7;9;10;10;10;11;11;11;11;11;11;11;11;12;
051000000000;"ŁÓDZKIE";6;6;9;16;16;17;17;16;17;17;17;17;17;17;18;18;20;20;20;
052600000000;"ŚWIĘTOKRZYSKIE";1;1;1;1;4;9;9;9;9;9;9;9;9;10;10;10;10;10;10;
060600000000;"LUBELSKIE";15;15;17;17;17;19;19;19;18;16;16;15;16;16;16;17;17;17;16;
061800000000;"PODKARPACKIE";2;3;3;6;9;11;11;12;11;13;13;13;13;13;13;14;14;14;14;
062000000000;"PODLASKIE";0;0;4;13;11;11;11;11;9;10;9;9;10;10;11;12;12;13;13;
071400000000;"MAZOWIECKIE";5;15;13;24;22;26;27;28;28;30;29;29;29;30;30;31;31;32;33;
