"Kod";"Nazwa";"zespoły ratownictwa medycznego - razem;2004;[szt.]";"zespoły ratownictwa medycznego - razem;2005;[szt.]";"zespoły ratownictwa medycznego - razem;2006;[szt.]";"zespoły ratownictwa medycznego - razem;2007;[szt.]";"zespoły ratownictwa medycznego - razem;2008;[szt.]";"zespoły ratownictwa medycznego - razem;2009;[szt.]";"zespoły ratownictwa medycznego - razem;2010;[szt.]";"zespoły ratownictwa medycznego - razem;2011;[szt.]";"zespoły ratownictwa medycznego - razem;2012;[szt.]";"zespoły ratownictwa medycznego - razem;2013;[szt.]";"zespoły ratownictwa medycznego - razem;2014;[szt.]";"zespoły ratownictwa medycznego - razem;2015;[szt.]";"zespoły ratownictwa medycznego - razem;2016;[szt.]";"zespoły ratownictwa medycznego - razem;2017;[szt.]";"zespoły ratownictwa medycznego - razem;2018;[szt.]";"zespoły ratownictwa medycznego - razem;2019;[szt.]";"zespoły ratownictwa medycznego - razem;2020;[szt.]";"zespoły ratownictwa medycznego - razem;2021;[szt.]";"zespoły ratownictwa medycznego - razem;2022;[szt.]";
011200000000;"MAŁOPOLSKIE";;;;;;;111;117;111;112;127;123;129;130;131;134;134;134;135;
012400000000;"ŚLĄSKIE";;;;;;;159;163;154;154;155;155;156;160;162;162;163;163;167;
020800000000;"LUBUSKIE";;;;;;;53;55;49;49;49;51;51;51;52;52;54;54;54;
023000000000;"WIELKOPOLSKIE";;;;;;;117;123;113;113;114;115;117;117;117;121;122;123;121;
023200000000;"ZACHODNIOPOMORSKIE";;;;;;;82;85;79;82;82;82;82;82;84;83;82;82;82;
030200000000;"DOLNOŚLĄSKIE";;;;;;;111;113;113;114;114;114;113;116;116;116;117;117;117;
031600000000;"OPOLSKIE";;;;;;;41;52;41;42;42;42;42;42;42;44;44;44;44;
040400000000;"KUJAWSKO-POMORSKIE";;;;;;;88;87;89;90;87;87;87;88;93;93;93;93;93;
042200000000;"POMORSKIE";;;;;;;82;82;84;84;83;86;85;89;90;93;94;96;96;
042800000000;"WARMIŃSKO-MAZURSKIE";;;;;;;71;72;75;75;75;79;77;77;79;82;81;81;81;
051000000000;"ŁÓDZKIE";;;;;;;98;100;103;94;94;94;95;98;98;103;103;103;104;
052600000000;"ŚWIĘTOKRZYSKIE";;;;;;;45;51;46;46;46;46;46;46;47;49;49;49;49;
060600000000;"LUBELSKIE";;;;;;;88;88;88;88;88;88;88;89;89;93;93;93;93;
061800000000;"PODKARPACKIE";;;;;;;84;92;84;84;84;85;85;86;90;95;95;96;96;
062000000000;"PODLASKIE";;;;;;;53;54;54;54;54;54;54;55;55;57;57;57;57;
071400000000;"MAZOWIECKIE";;;;;;;187;203;210;191;184;185;185;193;196;200;200;202;203;
