"Kod";"Nazwa";"zgony niemowląt na 1000 urodzeń żywych;2004;[-]";"zgony niemowląt na 1000 urodzeń żywych;2005;[-]";"zgony niemowląt na 1000 urodzeń żywych;2006;[-]";"zgony niemowląt na 1000 urodzeń żywych;2007;[-]";"zgony niemowląt na 1000 urodzeń żywych;2008;[-]";"zgony niemowląt na 1000 urodzeń żywych;2009;[-]";"zgony niemowląt na 1000 urodzeń żywych;2010;[-]";"zgony niemowląt na 1000 urodzeń żywych;2011;[-]";"zgony niemowląt na 1000 urodzeń żywych;2012;[-]";"zgony niemowląt na 1000 urodzeń żywych;2013;[-]";"zgony niemowląt na 1000 urodzeń żywych;2014;[-]";"zgony niemowląt na 1000 urodzeń żywych;2015;[-]";"zgony niemowląt na 1000 urodzeń żywych;2016;[-]";"zgony niemowląt na 1000 urodzeń żywych;2017;[-]";"zgony niemowląt na 1000 urodzeń żywych;2018;[-]";"zgony niemowląt na 1000 urodzeń żywych;2019;[-]";"zgony niemowląt na 1000 urodzeń żywych;2020;[-]";"zgony niemowląt na 1000 urodzeń żywych;2021;[-]";"zgony niemowląt na 1000 urodzeń żywych;2022;[-]";"zgony ogółem na 1000 urodzeń żywych;2004;[-]";"zgony ogółem na 1000 urodzeń żywych;2005;[-]";"zgony ogółem na 1000 urodzeń żywych;2006;[-]";"zgony ogółem na 1000 urodzeń żywych;2007;[-]";"zgony ogółem na 1000 urodzeń żywych;2008;[-]";"zgony ogółem na 1000 urodzeń żywych;2009;[-]";"zgony ogółem na 1000 urodzeń żywych;2010;[-]";"zgony ogółem na 1000 urodzeń żywych;2011;[-]";"zgony ogółem na 1000 urodzeń żywych;2012;[-]";"zgony ogółem na 1000 urodzeń żywych;2013;[-]";"zgony ogółem na 1000 urodzeń żywych;2014;[-]";"zgony ogółem na 1000 urodzeń żywych;2015;[-]";"zgony ogółem na 1000 urodzeń żywych;2016;[-]";"zgony ogółem na 1000 urodzeń żywych;2017;[-]";"zgony ogółem na 1000 urodzeń żywych;2018;[-]";"zgony ogółem na 1000 urodzeń żywych;2019;[-]";"zgony ogółem na 1000 urodzeń żywych;2020;[-]";"zgony ogółem na 1000 urodzeń żywych;2021;[-]";"zgony ogółem na 1000 urodzeń żywych;2022;[-]";
011200000000;"MAŁOPOLSKIE";6,0;5,8;5,4;6,4;4,9;5,0;4,5;4,3;3,8;3,8;3,2;2,8;3,4;3,7;2,9;3,1;3,5;3,0;2,8;88,3;89,2;87,9;86,4;80,7;80,0;80,0;83,7;87,1;88,3;86,0;90,4;84,5;83,5;85,7;89,3;109,7;122,4;115,7;
012400000000;"ŚLĄSKIE";7,9;7,4;7,3;6,7;6,8;7,2;5,7;6,0;4,8;5,1;4,9;4,7;4,4;4,0;3,9;4,6;3,6;4,4;4,8;113,6;113,6;109,1;108,8;102,2;101,5;99,8;106,5;110,0;114,8;112,0;121,2;114,5;114,3;122,5;127,8;157,4;190,4;179,4;
020800000000;"LUBUSKIE";8,3;6,2;6,5;6,0;5,4;6,3;5,4;5,6;6,0;5,6;3,8;4,1;5,9;4,7;4,2;3,2;3,1;3,2;3,5;90,5;92,1;89,0;87,6;84,3;85,1;86,7;92,6;92,7;103,2;98,3;107,8;102,3;99,9;116,0;122,5;146,2;174,5;164,4;
023000000000;"WIELKOPOLSKIE";7,1;5,9;6,1;6,7;5,6;5,4;4,4;3,7;4,5;4,5;4,3;4,5;4,1;3,9;4,1;3,2;3,3;3,8;3,5;91,2;85,7;84,7;81,4;76,1;77,5;75,9;80,8;83,4;88,3;83,9;90,2;84,5;82,2;90,6;91,4;111,5;128,6;124,8;
023200000000;"ZACHODNIOPOMORSKIE";7,8;7,1;6,6;7,4;5,1;6,7;5,2;6,1;5,2;5,0;5,3;3,6;4,9;4,5;3,9;3,9;3,8;3,7;4,4;95,7;94,8;95,4;92,5;89,7;91,7;95,3;100,9;103,3;110,1;104,8;114,4;108,7;109,3;120,6;126,4;153,2;180,9;175,3;
030200000000;"DOLNOŚLĄSKIE";8,1;6,9;6,9;6,9;7,4;6,5;6,1;5,6;6,3;5,1;4,6;3,8;3,8;4,3;4,2;4,5;3,5;4,5;3,9;114,0;111,2;109,5;108,1;102,1;103,5;100,6;106,3;111,8;118,2;110,1;120,1;111,3;112,8;118,7;121,5;146,2;165,2;158,8;
031600000000;"OPOLSKIE";4,3;4,9;5,4;4,4;5,9;5,0;5,2;3,8;6,2;4,3;4,7;4,1;4,6;3,4;3,3;3,7;4,0;4,0;2,4;112,0;111,5;111,4;113,3;106,9;104,7;107,8;111,9;113,9;124,8;114,1;126,3;115,9;119,8;124,6;125,9;159,9;181,0;173,0;
040400000000;"KUJAWSKO-POMORSKIE";7,4;6,6;5,7;6,1;5,8;6,4;5,8;6,0;4,8;4,4;4,6;4,1;4,4;5,1;3,9;4,9;4,0;5,6;5,0;95,3;94,9;92,8;93,2;86,1;88,4;90,5;93,8;98,4;103,2;100,0;106,9;103,5;101,7;113,9;114,2;141,4;169,2;160,6;
042200000000;"POMORSKIE";6,6;6,0;5,5;6,4;5,5;5,0;4,5;4,1;4,4;4,3;3,3;3,7;3,6;3,8;4,0;3,6;4,0;4,1;4,6;80,2;79,0;77,4;76,8;71,4;71,9;71,8;77,1;81,7;83,9;81,8;85,5;81,8;78,8;84,5;86,2;104,8;120,3;121,3;
042800000000;"WARMIŃSKO-MAZURSKIE";4,5;6,4;5,0;5,4;5,1;5,0;4,8;4,7;4,1;5,9;4,8;4,0;5,0;4,2;4,2;4,0;3,7;4,8;4,6;84,6;84,1;83,5;82,7;78,4;79,7;82,1;87,7;93,6;102,2;93,8;105,6;104,7;99,2;109,4;115,4;138,4;178,8;162,8;
051000000000;"ŁÓDZKIE";5,5;6,1;5,5;4,8;5,3;5,4;4,0;4,5;4,2;4,7;4,4;4,8;3,8;4,6;4,4;3,8;3,1;3,6;4,0;135,6;138,4;134,0;134,1;123,5;122,5;122,3;128,7;131,4;139,4;130,9;140,8;132,5;131,1;137,2;141,4;171,4;194,3;183,7;
052600000000;"ŚWIĘTOKRZYSKIE";5,5;5,9;5,0;5,0;4,7;4,2;6,3;6,0;3,6;4,9;3,1;3,8;4,2;2,8;3,8;2,8;4,2;2,6;3,7;118,4;118,7;121,6;114,5;109,1;108,3;112,5;118,3;121,3;132,4;126,7;136,2;131,5;131,3;136,4;141,8;182,4;211,1;193,5;
060600000000;"LUBELSKIE";7,9;7,3;6,4;6,1;6,4;4,9;4,7;4,4;4,3;4,6;4,2;3,8;3,5;4,6;4,2;4,5;3,9;4,6;4,3;109,6;108,6;105,5;107,0;101,8;103,2;101,8;107,6;106,4;115,8;111,5;115,7;113,3;112,1;117,8;119,3;151,1;184,0;163,8;
061800000000;"PODKARPACKIE";7,2;7,3;7,0;6,0;5,4;5,5;5,2;5,3;5,1;4,5;5,0;4,1;4,5;3,3;4,2;4,0;4,3;4,1;3,9;87,5;89,1;86,6;85,4;82,0;83,5;83,2;86,2;87,4;91,3;92,0;99,2;94,3;88,1;91,2;97,2;123,3;147,8;130,5;
062000000000;"PODLASKIE";7,1;5,6;6,2;5,0;5,3;4,7;4,5;4,8;4,1;4,6;4,5;4,5;3,3;4,7;4,2;3,7;3,4;4,7;3,9;109,7;107,7;107,6;104,9;97,5;99,7;99,0;104,4;106,2;114,4;107,4;113,6;107,9;103,9;110,0;110,2;138,5;165,4;147,1;
071400000000;"MAZOWIECKIE";6,0;6,0;5,0;4,9;4,9;4,9;4,5;3,4;4,3;3,9;3,7;3,8;3,3;3,4;3,4;3,2;3,2;3,4;3,1;106,1;103,5;98,7;95,8;90,7;91,3;87,9;92,7;95,1;97,9;93,6;95,8;92,1;92,5;97,1;96,8;119,0;136,2;124,6;
